function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val,total_time
quadratic,2,25,0.5,1.8,1.8,60,[-1.51861043e-06 -2.27308310e-06],7.473084420570287e-12,2.7811222076416016
rastrigin,2,25,0.5,1.8,1.8,60,[ 8.76408229e-06 -3.37019676e-07],1.5260859242971492e-08,2.7512636184692383
quadratic,5,25,0.5,1.8,1.8,60,"[ 9.61928709e-06  2.27347288e-05 -5.06817570e+00  3.46879161e+00
  5.12000000e+00]",6.093985768347806e-10,2.865973949432373
rastrigin,5,25,0.5,1.8,1.8,60,[ 0.98997405 -0.97811339 -0.99103669 -1.97756973  0.01398491],7.097709699333521,2.7652060985565186
quadratic,2,25,0.5,1.8,1.8,250,[4.32878084e-21 2.81710621e-20],8.123470809370221e-40,8.430759191513062
rastrigin,2,25,0.5,1.8,1.8,250,[-1.13102916e-09 -3.17406984e-09],0.0,8.49527883529663
quadratic,5,25,0.5,1.8,1.8,250,"[ 4.23521955e-20  1.29415583e-19  5.12000000e+00 -5.12000000e+00
 -5.12000000e+00]",1.8542101704672668e-38,8.464062929153442
rastrigin,5,25,0.5,1.8,1.8,250,"[-2.46293240e-08 -1.02839650e-07 -9.94958992e-01  9.94958524e-01
 -9.94958838e-01]",2.9848771713174216,8.527533531188965
quadratic,2,25,0.5,1.8,1.0,60,[9.79226403e-09 3.29139921e-09],1.0672174352540199e-16,2.8727564811706543
rastrigin,2,25,0.5,1.8,1.0,60,[-9.94956309e-01 -1.24007815e-06],0.9949590584732064,2.7778208255767822
quadratic,5,25,0.5,1.8,1.0,60,"[-7.15730561e-08  2.02610618e-07  2.47304108e+00  2.84862884e+00
  1.04368925e+00]",4.6173765088820864e-14,2.8195784091949463
rastrigin,5,25,0.5,1.8,1.0,60,[-0.00588094  0.00571861  0.019715   -1.00628199 -0.00309209],1.1126501432271638,2.878180503845215
quadratic,2,25,0.5,1.8,1.0,250,[-7.90810289e-27  4.99473195e-27],8.748543853397912e-53,8.559833288192749
rastrigin,2,25,0.5,1.8,1.0,250,[ 4.00159761e-10 -3.98918601e-10],0.0,8.368635416030884
quadratic,5,25,0.5,1.8,1.0,250,"[ 6.33408718e-26  2.16513972e-25  1.23924660e+00  7.75244606e-01
 -1.91585956e-01]",5.089036627789993e-50,8.370296955108643
rastrigin,5,25,0.5,1.8,1.0,250,"[-9.92063937e-10 -9.94958639e-01 -2.69609324e-09 -1.15618453e-09
  1.58482903e-09]",0.9949590570932898,8.316297769546509
quadratic,2,25,0.5,1.0,1.8,60,[-6.93231398e-08  1.64542434e-08],5.0764398398821364e-15,2.7373127937316895
rastrigin,2,25,0.5,1.0,1.8,60,[4.53367999e-05 2.94340249e-05],5.79659467092597e-07,2.7922656536102295
quadratic,5,25,0.5,1.0,1.8,60,"[-6.90263380e-08 -2.59573324e-08  2.30628980e+00  3.11443963e+00
  5.00979093e+00]",5.438418435828929e-15,2.677577018737793
rastrigin,5,25,0.5,1.0,1.8,60,"[-9.96453330e-01 -6.64846150e-04  9.93485924e-01 -1.03854528e-03
 -6.21331715e-04]",1.9911694556558075,2.681216239929199
quadratic,2,25,0.5,1.0,1.8,250,[-4.04452565e-29  4.58899701e-28],2.1222475466486914e-55,8.584459781646729
rastrigin,2,25,0.5,1.0,1.8,250,[-1.64646126e-09  6.96418831e-10],0.0,8.451252937316895
quadratic,5,25,0.5,1.0,1.8,250,"[ 2.59318062e-30  3.32856901e-29  2.70837536e+00 -3.16940252e+00
  9.16089460e-02]",1.1146617486653273e-57,8.345000505447388
rastrigin,5,25,0.5,1.0,1.8,250,"[ 2.03681489e-09 -1.59353213e-09  9.94958635e-01 -1.98991223e+00
 -8.51311742e-10]",4.974790247647377,8.55143404006958
quadratic,2,25,0.5,1.0,1.0,60,[2.47913117e-10 4.42253071e-10],2.57048692322607e-19,2.708526372909546
rastrigin,2,25,0.5,1.0,1.0,60,[-5.49664219e-09 -1.65735611e-08],6.039613253960852e-14,2.692640781402588
quadratic,5,25,0.5,1.0,1.0,60,"[-1.35982288e-09 -1.26353899e-10 -6.04422707e-02  3.01852088e+00
 -2.60059364e+00]",1.865083578333758e-18,2.779526472091675
rastrigin,5,25,0.5,1.0,1.0,60,"[-1.36203145e-03  5.65483744e-03 -2.98396278e+00 -9.93833000e-01
  1.98841011e+00]",13.936958215513094,2.7522175312042236
quadratic,2,25,0.5,1.0,1.0,250,[ 1.36634068e-36 -1.03079738e-36],2.929430099739154e-72,7.018240451812744
rastrigin,2,25,0.5,1.0,1.0,250,[2.94805299e-10 1.59504473e-09],0.0,6.9684739112854
quadratic,5,25,0.5,1.0,1.0,250,"[ 4.03721763e-37  1.92386009e-37 -4.14323990e+00  2.82549531e+00
  1.41259196e+00]",2.000036387229002e-73,6.816195487976074
rastrigin,5,25,0.5,1.0,1.0,250,"[-9.95946848e-01 -9.95641964e-01 -1.31006313e-04 -9.95517325e-01
  9.94541447e-01]",3.9802222914869247,6.8163275718688965
