function,dim,swarmsize,omega,phip,phig,max_iter,best_pos,best_val
quadratic,2,25,0.5,1.8,1.0,250,[-9.34313305e-31  2.27141769e-31],9.245347344458014e-61
rastrigin,2,25,0.5,1.8,1.0,250,[1.08488975e-10 2.80230328e-09],0.0
quadratic,5,25,0.5,1.8,1.0,250,"[ 4.68613368e-30  1.43018090e-30 -1.45057030e-01 -1.99478551e+00
 -2.62403537e+00]",2.4005266250966037e-59
rastrigin,5,25,0.5,1.8,1.0,250,"[-9.94958638e-01 -7.10383876e-10 -3.63082390e-09  2.39235808e-10
 -9.94958638e-01]",1.9899181141865796
quadratic,2,25,0.5,1.0,1.8,60,[3.17905749e-08 1.42882772e-08],1.2147955206001742e-15
rastrigin,2,25,0.5,1.0,1.8,60,[1.60261768e-07 9.10982057e-08],6.743050562363351e-12
quadratic,5,25,0.5,1.0,1.8,60,"[-3.18925677e-09  2.21155004e-08 -2.77034399e+00 -3.43078698e+00
  4.73179331e+00]",4.992667158909569e-16
rastrigin,5,25,0.5,1.0,1.8,60,"[-1.98988228e+00  1.47463578e-05  9.95066288e-01 -2.80825791e-07
  3.30719808e-05]",4.974792983364637
quadratic,2,25,0.5,1.0,1.8,250,[-1.34212712e-30  1.97729694e-30],5.711008393723425e-60
rastrigin,2,25,0.5,1.0,1.8,250,[-1.40464393e-09  1.39767923e-09],0.0
quadratic,5,25,0.5,1.0,1.8,250,"[-2.97125310e-29 -3.77897460e-29 -2.99941022e+00  5.11047153e+00
 -4.82941227e+00]",2.3108994010476464e-57
rastrigin,5,25,0.5,1.0,1.8,250,"[3.51064319e-09 8.51605434e-10 3.66968627e-09 4.91791763e-09
 1.72563724e-09]",0.0
quadratic,2,25,0.5,1.0,1.0,60,[1.18496938e-09 7.92091924e-10],2.031562042150275e-18
rastrigin,2,25,0.5,1.0,1.0,60,[ 9.94958637e-01 -6.19475925e-09],0.9949590570932969
quadratic,5,25,0.5,1.0,1.0,60,"[ 2.16246420e-11  3.54233787e-09  5.10998909e+00 -1.63579771e+00
 -4.20592149e+00]",1.2548625195453318e-17
rastrigin,5,25,0.5,1.0,1.0,60,"[ 9.94959645e-01  9.04695105e-07  1.98991256e+00 -9.94959064e-01
 -6.95512369e-07]",5.969749305257082
quadratic,2,25,0.5,1.0,1.0,250,[-7.00080956e-36  6.70026522e-36],9.390488859083076e-71
rastrigin,2,25,0.5,1.0,1.0,250,[-9.94958638e-01  1.50201886e-09],0.9949590570932898
quadratic,5,25,0.5,1.0,1.0,250,"[ 1.02443069e-37 -6.47979040e-35  4.57207566e-01 -1.09290788e+00
 -4.70012969e-01]",4.19877885148774e-69
rastrigin,5,25,0.5,1.0,1.0,250,"[ 9.94959702e-01 -9.94958644e-01 -1.98991234e+00 -9.94958708e-01
  5.10774703e-08]",6.964708362062304
