function,dimensions,swarmsize,omega,phip,phig,max_iter,best_position,best_value,total_time(s)
quadratic,2,25,0.4,1.8,1.0,250,[-5.78053576e-39 -1.61508202e-39],3.602308358139717e-77,0.1600959300994873
rastrigin,2,25,0.4,1.8,1.0,250,[-2.1560881e-09  3.6457421e-10],0.0,0.2086656093597412
quadratic,5,25,0.4,1.8,1.0,250,"[ 1.76115118e-40 -8.09987366e-41 -1.67123871e+00 -7.29347073e-01
  2.09751924e+00]",3.7577330220587966e-80,0.12901020050048828
rastrigin,5,25,0.4,1.8,1.0,250,"[-9.94957465e-01  9.94958185e-01  7.36833764e-06 -3.33218728e-07
 -9.94941446e-01]",2.98487724099364,0.17407870292663574
quadratic,2,25,0.4,1.0,1.8,60,[-3.33316536e-10  1.17887164e-10],1.249972964638506e-19,0.027375221252441406
rastrigin,2,25,0.4,1.0,1.8,60,[0.99495899 0.99495834],1.9899181142287574,0.04929208755493164
quadratic,5,25,0.4,1.0,1.8,60,"[-1.34452903e-10 -1.50445172e-10 -1.32787959e-02 -5.03045374e-01
 -1.24530323e+00]",4.071133306578613e-20,0.015709400177001953
rastrigin,5,25,0.4,1.0,1.8,60,[ 0.99495921  1.989912   -1.98991394 -0.99495973  1.98991329],13.92941168696018,0.05589747428894043
quadratic,2,25,0.4,1.0,1.8,250,[8.88347900e-37 1.16359826e-36],2.143122902910048e-72,0.12969017028808594
rastrigin,2,25,0.4,1.0,1.8,250,[ 3.12046159e-10 -4.32980955e-10],0.0,0.17632555961608887
quadratic,5,25,0.4,1.0,1.8,250,"[-1.78921458e-38 -4.64951231e-38  1.40960545e+00 -4.91116735e+00
  4.51598423e+00]",2.4819253530534203e-75,0.12175774574279785
rastrigin,5,25,0.4,1.0,1.8,250,"[-3.15963941e-10  2.95464557e-09  3.52328931e-09 -3.97978386e+00
  1.18754074e-09]",15.919243792461529,0.17114877700805664
quadratic,2,25,0.4,1.0,1.0,60,[-1.4975261e-12  2.4978219e-12],8.481698648612143e-24,0.02985525131225586
rastrigin,2,25,0.4,1.0,1.0,60,[-1.78164648e-06 -1.59038311e-06],1.1315464121253171e-09,0.046269893646240234
quadratic,5,25,0.4,1.0,1.0,60,"[-5.87265505e-12  2.62654843e-12  1.06004746e+00 -2.67103105e+00
  5.94739940e-01]",4.1386833974183584e-23,0.026262760162353516
rastrigin,5,25,0.4,1.0,1.0,60,"[-9.94967624e-01 -9.94969269e-01  9.94962075e-01 -9.94923836e-01
 -1.60983311e-05]",3.979836560716258,0.042653560638427734
quadratic,2,25,0.4,1.0,1.0,250,[-1.46564720e-44  6.23156946e-45],2.536446281684427e-88,0.1178741455078125
rastrigin,2,25,0.4,1.0,1.0,250,[-9.94958636e-01  1.63605635e-09],0.9949590570932898,0.1771230697631836
quadratic,5,25,0.4,1.0,1.0,250,"[ 1.49129555e-46  1.86451944e-45  3.55408465e+00  8.67796976e-01
 -3.13630978e-01]",3.498672374387063e-90,0.12277460098266602
rastrigin,5,25,0.4,1.0,1.0,250,"[-9.94956594e-01 -9.94973973e-01  9.94952224e-01 -9.94796757e-01
  2.66378375e-06]",3.9798414816638967,0.18329262733459473
quadratic,2,25,0.5,1.8,1.8,60,[-1.41431743e-07 -4.63565081e-07],2.348955223860753e-13,0.028789997100830078
rastrigin,2,25,0.5,1.8,1.8,60,[-4.49382996e-06 -1.26245373e-05],3.5625951966267166e-08,0.04625701904296875
quadratic,5,25,0.5,1.8,1.8,60,"[-1.94311072e-07 -2.34865556e-07 -2.31426046e+00 -3.77252755e+00
 -2.39309120e+00]",9.2918621885259e-14,0.029625654220581055
rastrigin,5,25,0.5,1.8,1.8,60,[-0.00598285  0.00230915 -0.99888836  1.98572686  0.9922423 ],5.985899536571935,0.03962588310241699
quadratic,2,25,0.5,1.8,1.8,250,[1.31914851e-23 1.16910266e-23],3.106953821978466e-46,0.12296891212463379
rastrigin,2,25,0.5,1.8,1.8,250,[ 8.02503957e-10 -1.98775353e-09],0.0,0.19005036354064941
quadratic,5,25,0.5,1.8,1.8,250,"[-1.30633385e-25  3.14589601e-27  5.11264426e+00 -3.20419327e+00
  4.89492325e+00]",1.7074978046780624e-50,0.1300065517425537
rastrigin,5,25,0.5,1.8,1.8,250,"[ 9.94958637e-01  6.83121835e-10 -9.94958638e-01  2.51516099e-09
  9.94958637e-01]",2.9848771712798694,0.20010685920715332
quadratic,2,25,0.5,1.8,1.0,60,[4.14495432e-08 1.38558099e-08],1.910048103429985e-15,0.03284502029418945
rastrigin,2,25,0.5,1.8,1.0,60,[4.35377498e-08 3.16219550e-09],3.765876499528531e-13,0.046011924743652344
quadratic,5,25,0.5,1.8,1.0,60,"[ 4.45833466e-08  1.08957852e-08 -7.63827820e-01 -4.99682129e+00
  3.82362124e+00]",2.1063929315182233e-15,0.036379337310791016
rastrigin,5,25,0.5,1.8,1.0,60,[-0.00179618  0.99103828  0.00271066 -0.00447741 -0.99112524],2.001952502270214,0.056909799575805664
